Song,Genre,Length,Lyrical density
Frank Ocean - In My Room,pop,133,0.08307307932542161
Mac Miller - Surf,pop,330,0.21753460777851022
Giveon - Heartbreak Anniversary,pop,198,0.14516129032258066
"Bobby ""Boris"" Pickett - Monster Mash",pop,192,0.09922480620155039
Juice WRLD - Stay High,pop,168,0.07917059377945335
Juice WRLD - Hear Me Calling,pop,189,0.09407665505226481
Luke Combs - Six Feet Apart,pop,199,0.1461086637298091
The Kid LAROI - TRAGIC (feat. Youngboy Never Broke Again & Internet Money),pop,153,0.060474308300395255
Taylor Swift - dorothea,pop,225,0.17254601226993865
Young Thug - Hot (Remix) [feat. Gunna and Travis Scott,pop,279,0.09834332040888262
Harry Styles - Canyon Moon,pop,189,0.1556836902800659
Taylor Swift - betty,pop,294,0.13473877176901924
The Weeknd - Starboy,pop,230,0.10074463425317565
Morgan Wallen - More Than My Hometown,pop,216,0.10379625180201826
Justin Bieber - As I Am (feat. Khalid),pop,174,0.10922787193973635
Future - Trapped In The Sun,pop,201,0.05454545454545454
Beyoncé - BLACK PARADE,pop,281,0.07367593078133193
blackbear - hot girl bummer,pop,188,0.07401574803149606
Juice WRLD - Up Up And Away,pop,147,0.08990825688073395
Justin Bieber - Loved By You (feat. Burna Boy),pop,159,0.09314586994727592
Vince Guaraldi Trio - Christmas Time Is Here - Vocal,pop,166,0.27666666666666667
Demi Lovato - Anyone,pop,227,0.16852264291017074
Post Malone - Internet,pop,123,0.11452513966480447
DaBaby - POP STAR (feat. Kevin Gates),pop,182,0.05467107239411235
Kid Cudi - Leader Of The Delinquents,pop,189,0.06825568797399784
Justin Bieber - Holy (feat. Chance The Rapper),pop,212,0.08449581506576326
YNW Melly - Suicidal (Remix) [feat. Juice WRLD,pop,225,0.10578279266572638
Justin Bieber - Holy,pop,212,0.08449581506576326
"DJ Khaled - I DID IT (feat. Post Malone, Megan Thee Stallion, Lil Baby & DaBaby)",pop,165,0.05393919581562602
Pop Smoke - Got It On Me,pop,164,0.07949587978671838
Lil Uzi Vert - Celebration Station,pop,195,0.054272195936543276
Juice WRLD - Blood On My Jeans,pop,154,0.06678230702515178
Juice WRLD - Empty,pop,248,0.09627329192546584
Post Malone - Circles,pop,215,0.14089121887287026
Doja Cat - Say So,pop,237,0.10787437414656349
Ritt Momney - Put Your Records On,pop,210,0.1441317776252574
Morgan Wallen - Livin’ The Dream,pop,239,0.11090487238979119
Gunna - WUNNA,pop,158,0.07165532879818594
Lady Gaga - Stupid Love,pop,193,0.11015981735159817
Luke Combs - Without You,pop,224,0.1414141414141414
Drake - Wants and Needs (feat. Lil Baby),pop,192,0.06490872210953347
JACKBOYS - WHAT TO DO? (feat. Don Toliver),pop,250,0.11057054400707651
Paul McCartney - Wonderful Christmastime - Edited Version / Remastered 2011,pop,227,0.1926994906621392
A$AP Ferg - Move Ya Hips (feat. Nicki Minaj & MadeinTYO),pop,146,0.05656722200697404
The Kid LAROI - WITHOUT YOU (with Miley Cyrus),pop,161,0.1079088471849866
Summer Walker - Come Thru (with Usher),pop,181,0.08574135480814779
DaBaby - BLIND (feat. Young Thug),pop,153,0.06415094339622641
WhoHeem - Lets Link,pop,159,0.0726691042047532
Anuel AA - Narcos,pop,259,0.061872909698996656
James Arthur - Train Wreck,pop,208,0.14942528735632185
Morgan Wallen - This Bar,pop,185,0.1303735024665257
Dua Lipa - Levitating,pop,203,0.07355072463768116
Bryson Tiller - Years Go By,pop,179,0.07568710359408033
Post Malone - Allergic,pop,156,0.1511627906976744
Glass Animals - Heat Waves,pop,238,0.11080074487895716
Selena Gomez - Ring,pop,148,0.09450830140485313
Future - Touch The Sky,pop,144,0.06340819022457067
Tame Impala - One More Year,pop,324,0.2621359223300971
Post Malone - Sunflower - Spider-Man: Into the Spider-Verse,pop,157,0.09389952153110048
NAV - Codeine (feat. Gunna),pop,188,0.04922754647813564
Taylor Swift - marjorie,pop,257,0.1558520315342632
Logic - Hit My Line,pop,265,0.09981167608286252
Harry Styles - To Be So Lonely,pop,192,0.16
Logic - Soul Food II,pop,333,0.06338028169014084
Lady Gaga - Replay,pop,186,0.1234240212342402
G Herbo - PTSD,pop,232,0.07028173280823993
A Boogie Wit da Hoodie - Reply (feat. Lil Uzi Vert),pop,183,0.0639412997903564
21 Savage - Runnin,pop,195,0.06842105263157895
Anuel AA - Que Se Joda,pop,226,0.07806563039723662
The Weeknd - Heartless,pop,198,0.09510086455331412
Lady Gaga - Stupid Love,pop,193,0.11015981735159817
Polo G - Be Something (feat. Lil Baby),pop,194,0.05644457375618272
JACKBOYS - GATTI,pop,181,0.07018224117875145
Selena Gomez - Crowded Room (feat. 6LACK),pop,186,0.09068746952705997
Travis Scott - STARGAZING,pop,270,0.10368663594470046
DDG - Moonwalking in Calabasas (feat. Blueface) - Remix,pop,170,0.061019382627422826
Aly & AJ - Potential Breakup Song,pop,218,0.10148975791433892
Joji - Ew,pop,207,0.28356164383561644
21 Savage - My Dawg,pop,181,0.05722415428390768
Future - Life Is Good (feat. Drake),pop,237,0.05993930197268589
The Ronettes - Sleigh Ride,pop,181,0.12050599201065246
Camila Cabello - My Oh My (feat. DaBaby),pop,170,0.08130081300813008
Ariana Grande - Stuck with U (with Justin Bieber),pop,228,0.11354581673306773
Glass Animals - Tangerine,pop,200,0.09487666034155598
Bad Bunny - BYE ME FUI,pop,178,0.11687458962573867
Shotgun Shane - Not Like Me,pop,297,12.375
Eminem - Those Kinda Nights (feat. Ed Sheeran),pop,177,0.055783170501103055
Taylor Swift - Love Story (Taylor’s Version),pop,235,0.12668463611859837
Megan Thee Stallion - Savage Remix (feat. Beyoncé),pop,242,0.0545536519386835
Bad Bunny - YO VISTO ASÍ,pop,191,0.10105820105820106
Maroon 5 - Beautiful Mistakes (feat. Megan Thee Stallion),pop,227,0.07895652173913044
A Boogie Wit da Hoodie - Bleed,pop,176,0.057254391672088484
Gunna - SKYBOX,pop,178,0.05728999034438365
Ariana Grande - six thirty,pop,183,0.085955847815876
DaBaby - BOP,pop,159,0.04591394744441236
Trippie Redd - The Way,pop,243,0.10433662516101332
"Juice WRLD - The Man, The Myth, The Legend - Interlude",pop,136,0.05562372188139059
Taylor Swift - The Man,pop,190,0.1014957264957265
Pop Smoke - Make It Rain,pop,204,0.04941860465116279
Future - Sleeping On The Floor,pop,167,0.03544142614601019
Brevin Kim - !holyshitohmygod!,hyperpop,196,0.1467065868263473
SyKo - #BrooklynBloodPop!,hyperpop,145,0.11301636788776305
Petal Supply - 1,hyperpop,705,0.10534967124925283
p4rkr - 1234,hyperpop,200,0.06958942240779402
8485 - 1:15,hyperpop,130,0.09687034277198212
ericdoa - 2008,hyperpop,138,0.07293868921775898
A. G. Cook - 2021,hyperpop,116,0.06557377049180328
kmoe - 2267 (ft. ericdoa),hyperpop,142,0.11794019933554817
Weston Allen - 24 Hours (In the Chicken Heater),hyperpop,169,0.16423712342079688
Georgia - 24 Hours - Danny L Harle Remix,hyperpop,249,0.155625
millennium parade - 2992,hyperpop,281,0.19581881533101045
Petal Supply - 2much,hyperpop,238,0.45857418111753373
Body Meat - 4700,hyperpop,156,0.09547123623011015
8485 - 4real,hyperpop,174,0.08180535966149506
six impala - 6FINGERDEATHPUNCH,hyperpop,164,0.1413793103448276
food house - 8 now,hyperpop,209,0.08643507030603804
100 gecs - 800 db cloud,hyperpop,140,0.09120521172638436
andy polk - 84k,hyperpop,167,6.423076923076923
RILEY THE MUSICIAN - 99,hyperpop,181,0.10066740823136819
Cowgirl Clue - A Figure 8,hyperpop,148,0.1646273637374861
Cowgirl Clue - A.D.H.D. - Alice Gas Remix,hyperpop,114,0.09878682842287695
grandee - agony,hyperpop,168,0.13714285714285715
Pitfall - Aiming,hyperpop,113,0.08439133681852129
blackwinterwells - algae,hyperpop,137,0.09200805910006717
kmoe - all the time (ft. polearm),hyperpop,155,0.08337816030123722
Avicii - All You Need Is Love,hyperpop,381,0.39237899073120497
CMTEN - ALONE (feat. RILEY THE MUSICIAN),hyperpop,126,0.0846774193548387
20025xs - AmiciXS,hyperpop,172,0.09038360483447189
tropes - Antagonists,hyperpop,154,0.08029197080291971
Charli XCX - anthems,hyperpop,171,0.10562075355157505
WHOKILLEDXIX - Antics,hyperpop,177,0.058147174770039424
Numl6ck - Anxious,hyperpop,98,0.06960227272727272
blackwinterwells - Armageddon,hyperpop,163,0.12665112665112666
glaive - arsenic,hyperpop,111,0.06375646180356118
